央视卫视,#genre#
士兵突击,http://43.138.170.29:35455/yy/1382828766
【陪你看】金刚葫芦娃,http://43.138.170.29:35455/yy/1353323999
林正英 女鬼电影,http://43.138.170.29:35455/yy/1453996620
24H国漫热播,http://43.138.170.29:35455/yy/1353937086
鹿鼎记-周星驰版,http://43.138.170.29:35455/yy/1354658049
斗破苍穹玄幻剧,http://43.138.170.29:35455/yy/1356051105
寻秦记-穿越剧经典,http://43.138.170.29:35455/yy/1382749900
真实案件系列,http://43.138.170.29:35455/yy/1382671124
港片电影集,http://43.138.170.29:35455/yy/1455225203
特种兵系列,http://43.138.170.29:35455/yy/1508456184
【电视剧】士兵突击,http://43.138.170.29:35455/yy/96731358
五号特工组,http://43.138.170.29:35455/yy/1507704566
系列电视剧,http://43.138.170.29:35455/yy/1458015189
【成龙经典】动作,http://43.138.170.29:35455/yy/34460526
奇领 铁山靠【Y 正在直播,http://43.138.170.29:35455/yy/41584371
24灌篮高手正在直播,http://43.138.170.29:35455/yy/1350984033
彭禺厶鬼怪奇幻系列电影,http://43.138.170.29:35455/yy/1355249116
神探狄仁杰1,http://43.138.170.29:35455/yy/1354930934
开心剧场《地下交通站》,http://43.138.170.29:35455/yy/29907996
双月之城-国漫,http://43.138.170.29:35455/yy/1382736907
【雪豹】超经典,http://43.138.170.29:35455/yy/1450496699
星爷经典-百看不厌,http://43.138.170.29:35455/yy/1382736808
三国演义94年经典版,http://43.138.170.29:35455/yy/1354936241
【雪豹】超经典,http://43.138.170.29:35455/yy/1450496699
星爷经典-百看不厌,http://43.138.170.29:35455/yy/1382736808
三国演义94年经典版,http://43.138.170.29:35455/yy/1354936241
经典港片电影,http://43.138.170.29:35455/yy/1382793140
天道-9.2高分好剧,http://43.138.170.29:35455/yy/1382735574
纪晓岚专属,http://43.138.170.29:35455/yy/63826933
少年包青天第三部,http://43.138.170.29:35455/yy/1382736814
宋小宝小品合集,http://43.138.170.29:35455/yy/1354931577
炊事班的故事II,http://43.138.170.29:35455/yy/1382736885
【狂飙】4K,http://43.138.170.29:35455/yy/1382773728
你最爱的宋小宝,http://43.138.170.29:35455/yy/1354936198
读心神探,http://43.138.170.29:35455/yy/1382736875
小兵张嘎,http://43.138.170.29:35455/yy/1354930225
父母的爱情,http://43.138.170.29:35455/yy/1382768483
主播-求关注.24小时,http://43.138.170.29:35455/yy/1456625255
斗罗斗破动漫,http://43.138.170.29:35455/yy/1420843376
！,http://43.138.170.29:35455/yy/1353255986
笑傲帮,http://43.138.170.29:35455/yy/1382735555
情满四合院,http://43.138.170.29:35455/yy/1382736888
斗罗斗破,http://43.138.170.29:35455/yy/1354768831
康熙王朝,http://43.138.170.29:35455/yy/1382736818
【动漫】斗罗斗破,http://43.138.170.29:35455/yy/35742228
港剧《驼枪师姐》,http://43.138.170.29:35455/yy/1382688521
辽宁七七与你相见恨晚,http://43.138.170.29:35455/yy/1451760831
狂飙 蓝光,http://43.138.170.29:35455/yy/1382787686
【神雕侠侣】金庸经典,http://43.138.170.29:35455/yy/1382704651
今夜欢乐颂,http://43.138.170.29:35455/yy/1382735572
易中天品三国完整版,http://43.138.170.29:35455/yy/1461244449
【荒野求生】德爷 贝爷,http://43.138.170.29:35455/yy/39123221
【荒野求生】德爷贝爷蓝光,http://43.138.170.29:35455/yy/24759907
我的前半生,http://43.138.170.29:35455/yy/1382735564
为什么你一直是单身,http://43.138.170.29:35455/yy/89431014
电影,http://43.138.170.29:35455/yy/1458819360
济公游记,http://43.138.170.29:35455/yy/1355265814
一起合租的快乐生活~,http://43.138.170.29:35455/yy/38525272
我爱我家,http://43.138.170.29:35455/yy/1382735557
炊事班的故事III,http://43.138.170.29:35455/yy/1382736716
今晚80后脱口秀,http://43.138.170.29:35455/yy/1382745098
家花与野花,http://43.138.170.29:35455/yy/1354420982
妹子高分搞笑电影,http://43.138.170.29:35455/yy/33478222
现代军旅,http://43.138.170.29:35455/yy/1382830638
【案发现场】1-4部全集,http://43.138.170.29:35455/yy/33567888
鬼片恐怖片 美女陪你看,http://43.138.170.29:35455/yy/1335509613
经典电影,http://43.138.170.29:35455/yy/1355142167
港剧悬疑破案,http://43.138.170.29:35455/yy/10425097
【动漫】斗罗斗破超清全屏,http://43.138.170.29:35455/yy/1382689904
笑傲江湖,http://43.138.170.29:35455/yy/1354930909
吴京 特种战士,http://43.138.170.29:35455/yy/76101626
【林正英】僵尸 鬼片,http://43.138.170.29:35455/yy/30668277
经典港剧《法证先锋》,http://43.138.170.29:35455/yy/1461993663
烧脑破案24h陪你看,http://43.138.170.29:35455/yy/1355171357
经典鬼片3000部,http://43.138.170.29:35455/yy/29460894
【电影】顶级动作电影,http://43.138.170.29:35455/yy/24923327
【战狼3吴京首播】,http://43.138.170.29:35455/yy/1354752072
【电影】超然巨作,http://43.138.170.29:35455/yy/26623173
【电影】超然巨作,http://43.138.170.29:35455/yy/29170933
倚天屠龙记,http://43.138.170.29:35455/yy/1354755003
少年包青天三,http://43.138.170.29:35455/yy/61318527
倚天屠龙记,http://43.138.170.29:35455/yy/1382818085
吕小羊鬼片 正在直播,http://43.138.170.29:35455/yy/1354792118
利刃出击乐乐陪看,http://43.138.170.29:35455/yy/1352946111
港剧《驼枪师姐》,http://43.138.170.29:35455/yy/1382688521
父母爱情,http://43.138.170.29:35455/yy/1354926650
林正英 经典鬼片,http://43.138.170.29:35455/yy/1353312849
岳云鹏-屌丝也能追到美女,http://43.138.170.29:35455/yy/1382736882
宫心计,http://43.138.170.29:35455/yy/1382828769
开饭了大熊猫,http://43.138.170.29:35455/yy/1382741641
《刑事侦缉档案》4部连播,http://43.138.170.29:35455/yy/95017956
天龙神雕经典回忆,http://43.138.170.29:35455/yy/68260522
破案港剧,http://43.138.170.29:35455/yy/1350670730
《石敢当》六耳猕猴,http://43.138.170.29:35455/yy/1394156613
[影视] 济公游记,http://43.138.170.29:35455/yy/25221556
欧阳震华带你起飞,http://43.138.170.29:35455/yy/1456829119
案发现场全集,http://43.138.170.29:35455/yy/1354775242
新主播，求照顾,http://43.138.170.29:35455/yy/1394102549
战狼6吴京首播,http://43.138.170.29:35455/yy/1354330332
西游记后传,http://43.138.170.29:35455/yy/1382736846
德爷单挑荒野,http://43.138.170.29:35455/yy/62370558
法证先锋,http://43.138.170.29:35455/yy/1354930939
24H欧美惊悚科幻,http://43.138.170.29:35455/yy/1382656234
燃爆动作片,http://43.138.170.29:35455/yy/1382736801
欢乐集结号,http://43.138.170.29:35455/yy/1354931582
伪装者,http://43.138.170.29:35455/yy/1354936244
小欢喜,http://43.138.170.29:35455/yy/1382737888
国内喜剧,http://43.138.170.29:35455/yy/1382736862
法证先锋Ⅱ,http://43.138.170.29:35455/yy/1354888736
【港台】鬼片 惊悚 喜剧,http://43.138.170.29:35455/yy/1351030377
【荒野求生】德爷贝爷各种,http://43.138.170.29:35455/yy/21831828
恐怖片 女鬼,http://43.138.170.29:35455/yy/1455891197
炊事班的故事,http://43.138.170.29:35455/yy/1382749901
易中天品三国,http://43.138.170.29:35455/yy/1354931498
妖魔鬼怪 超好看,http://43.138.170.29:35455/yy/1459714870
情满四合院,http://43.138.170.29:35455/yy/1382736848
亲爱的热爱的,http://43.138.170.29:35455/yy/1354932433
我的体育老师,http://43.138.170.29:35455/yy/1382745169
岳云鹏-屌丝也能追到美女,http://43.138.170.29:35455/yy/1382736882
炊事班的故事,http://43.138.170.29:35455/yy/1382646846
最美的青春,http://43.138.170.29:35455/yy/1382745116
贾玲春晚小品,http://43.138.170.29:35455/yy/1382736720
《鉴证实录》两部连播,http://43.138.170.29:35455/yy/1460336255
平凡岁月,http://43.138.170.29:35455/yy/1382745117
林正英 经典鬼片,http://43.138.170.29:35455/yy/1353312849
天龙八部蓝光,http://43.138.170.29:35455/yy/1355652820
宋小宝春晚小品合集,http://43.138.170.29:35455/yy/1382736866
[影视] 济公游记,http://43.138.170.29:35455/yy/25221556
插翅难逃,http://43.138.170.29:35455/yy/1355279371
大话西游至尊宝,http://43.138.170.29:35455/yy/1382736910
薛元帅传奇,http://43.138.170.29:35455/yy/31313785
野山鹰-影视剧,http://43.138.170.29:35455/yy/1354932395
百家讲坛――之明太祖朱元璋,http://43.138.170.29:35455/yy/1354936149
大明王朝,http://43.138.170.29:35455/yy/1382736879
赵本山小品,http://43.138.170.29:35455/yy/28882933
华子系列,http://43.138.170.29:35455/yy/1354888726
中国味道 第4季-美食纪录片,http://43.138.170.29:35455/yy/1382736845
【玄幻电影】,http://43.138.170.29:35455/yy/1355065896
夏洛特烦恼-国内电影-喜剧,http://43.138.170.29:35455/yy/1354936201
神探狄仁杰,http://43.138.170.29:35455/yy/1461133588
金婚,http://43.138.170.29:35455/yy/1382736832
惊恐鬼怪盗暮,http://43.138.170.29:35455/yy/1382749525
【港片】赌片 动作,http://43.138.170.29:35455/yy/24921161
赌神-发哥,http://43.138.170.29:35455/yy/1354889044
无敌燕双鹰,http://43.138.170.29:35455/yy/1354825244
鬼片.惊悚.港片,http://43.138.170.29:35455/yy/1355497884
敢死队-精彩动作电影,http://43.138.170.29:35455/yy/1382735573
鸡毛飞上天,http://43.138.170.29:35455/yy/1354806550
国外科幻,http://43.138.170.29:35455/yy/1382736800
欢乐集结号,http://43.138.170.29:35455/yy/1382735550
热门喜剧,http://43.138.170.29:35455/yy/1354931495
毒液：致命守护者,http://43.138.170.29:35455/yy/1382745095
枕上书正在直播,http://43.138.170.29:35455/yy/1351844200
【爱靓】虎子鬼片,http://43.138.170.29:35455/yy/1356075628
变形金刚,http://43.138.170.29:35455/yy/1382736803
三国演义,http://43.138.170.29:35455/yy/32788000
《神雕侠侣》黯然销魂,http://43.138.170.29:35455/yy/1394000563
的直播间,http://43.138.170.29:35455/yy/1354129442
余zui,http://43.138.170.29:35455/yy/31809939
华语经典电影,http://43.138.170.29:35455/yy/1382779065
24小时循环播电视剧,http://43.138.170.29:35455/yy/53320802
小敏,http://43.138.170.29:35455/yy/1382736890
陈情令,http://43.138.170.29:35455/yy/1382745121
最可爱的人,http://43.138.170.29:35455/yy/1382779528
国内外惊悚恐怖片,http://43.138.170.29:35455/yy/1356075281
我和僵尸有个约会,http://43.138.170.29:35455/yy/1355277480
加勒比海盗系列,http://43.138.170.29:35455/yy/1382749914
院线动作大片,http://43.138.170.29:35455/yy/1382736900
动漫奥斯卡正在直播,http://43.138.170.29:35455/yy/1382626335
经典大片合集,http://43.138.170.29:35455/yy/1382749895
电影百团大战,http://43.138.170.29:35455/yy/1382736871
第一滴血全集,http://43.138.170.29:35455/yy/1354932355
热血抗日电影,http://43.138.170.29:35455/yy/1382749907
小甜甜 勇敢的心,http://43.138.170.29:35455/yy/1382658790
空谷幽兰,http://43.138.170.29:35455/yy/1382745182
福贵,http://43.138.170.29:35455/yy/1354926537
林正英鬼片 陪你惊悚,http://43.138.170.29:35455/yy/1356072278
澳门风云,http://43.138.170.29:35455/yy/1459243913
本山快乐营,http://43.138.170.29:35455/yy/1354933529
单挑荒野第一季,http://43.138.170.29:35455/yy/1354933535
法证先锋2,http://43.138.170.29:35455/yy/1382736870
血色浪漫,http://43.138.170.29:35455/yy/1354926676
宝莲灯前传,http://43.138.170.29:35455/yy/1354931631
黑冰,http://43.138.170.29:35455/yy/1354932427
小沈阳春晚小品,http://43.138.170.29:35455/yy/1382749941
战争 二战 《狙击电影》,http://43.138.170.29:35455/yy/1450828388
大进军全集：红色系列电影,http://43.138.170.29:35455/yy/1382745083
洪金宝福星系列,http://43.138.170.29:35455/yy/1354924839
影视剧场,http://43.138.170.29:35455/yy/1355260855
公主嫁到,http://43.138.170.29:35455/yy/1382736915
木乃伊全集,http://43.138.170.29:35455/yy/1354889024
本山快乐营1,http://43.138.170.29:35455/yy/1354936209
【电视剧】天下第一,http://43.138.170.29:35455/yy/1354780649
香港院线大片-最新,http://43.138.170.29:35455/yy/1354936242
奇缘39262港台影院,http://43.138.170.29:35455/yy/1354889234
逋鞠盗 -国产喜剧,http://43.138.170.29:35455/yy/1382736856
惊天大瓜,http://43.138.170.29:35455/yy/1353327982
神秘探险热播电视剧,http://43.138.170.29:35455/yy/1355336008
天下第一,http://43.138.170.29:35455/yy/1355554637
怀旧好电影,http://43.138.170.29:35455/yy/1382627144
粟裕大将-影视,http://43.138.170.29:35455/yy/1354926542
逐梦传媒-007 正在直播,http://43.138.170.29:35455/yy/1456685522
特种兵归来-国产电影,http://43.138.170.29:35455/yy/1382735581
法证先锋Ⅲ,http://43.138.170.29:35455/yy/1382736802
金婚,http://43.138.170.29:35455/yy/1382828768
新白娘子传奇-女神赵雅芝,http://43.138.170.29:35455/yy/1354930969
传奇英雄,http://43.138.170.29:35455/yy/1382735578
勇敢的心,http://43.138.170.29:35455/yy/1354792480
精彩动作电影享不停,http://43.138.170.29:35455/yy/1382736809
憨豆先生-经典喜剧,http://43.138.170.29:35455/yy/1354936239
赵家班电视剧,http://43.138.170.29:35455/yy/1382737099
X战警系列电影,http://43.138.170.29:35455/yy/1382736893
战争大片-国外电影,http://43.138.170.29:35455/yy/1382736857
热血战争巨作,http://43.138.170.29:35455/yy/1382745087
舌尖上的中国第2季,http://43.138.170.29:35455/yy/1354930943
俺娘田小草,http://43.138.170.29:35455/yy/1382741638
铭记历史-甲午大海战,http://43.138.170.29:35455/yy/1354936195
探秘中华美食,http://43.138.170.29:35455/yy/1354930954
临界婚姻,http://43.138.170.29:35455/yy/1354932365
经典动作电影,http://43.138.170.29:35455/yy/1370293254
狂飙,http://43.138.170.29:35455/yy/14072363
河山,http://43.138.170.29:35455/yy/1382749952
军旅电视剧,http://43.138.170.29:35455/yy/1352575322
临界婚姻,http://43.138.170.29:35455/yy/1354932365
经典动作电影,http://43.138.170.29:35455/yy/1370293254
狂飙,http://43.138.170.29:35455/yy/14072363
河山,http://43.138.170.29:35455/yy/1382749952
军旅电视剧,http://43.138.170.29:35455/yy/1352575322
精彩玄幻电影,http://43.138.170.29:35455/yy/1382688400
远去的飞鹰-影视剧,http://43.138.170.29:35455/yy/1354930912
发哥系列,http://43.138.170.29:35455/yy/1354888733
哈利波特全集,http://43.138.170.29:35455/yy/1382745105
经典抗日电影,http://43.138.170.29:35455/yy/1354936141
国内战争电影,http://43.138.170.29:35455/yy/1382736865
剩女李夏天的求爱之路,http://43.138.170.29:35455/yy/1382749910
九亿少女的噩梦,http://43.138.170.29:35455/yy/1354921392
欢乐集结号3,http://43.138.170.29:35455/yy/1382736822
魔幻手机,http://43.138.170.29:35455/yy/1382735544
成龙系列,http://43.138.170.29:35455/yy/1354888751
探案！探案！,http://43.138.170.29:35455/yy/1382829413
战狼3,http://43.138.170.29:35455/yy/1355913027
小戏骨黄飞鸿,http://43.138.170.29:35455/yy/1354936181
国外黑色喜剧：冷幽默小剧场,http://43.138.170.29:35455/yy/1382745175
请回答1988,http://43.138.170.29:35455/yy/1354932362
金庸武侠系列,http://43.138.170.29:35455/yy/40959929
超级英雄系列电影,http://43.138.170.29:35455/yy/1382736863
国威影院 仙侠系列,http://43.138.170.29:35455/yy/1354866665
人生必看的科幻片,http://43.138.170.29:35455/yy/1382745114
国内战争大片合集,http://43.138.170.29:35455/yy/1382749950
红楼梦1987经典版,http://43.138.170.29:35455/yy/1382745084
正阳门下小女人,http://43.138.170.29:35455/yy/1508778570
大汉贤后卫子夫,http://43.138.170.29:35455/yy/1382735569
怀旧小品,http://43.138.170.29:35455/yy/1382736821
国外动作大片,http://43.138.170.29:35455/yy/1382735540
【科幻】超炫特效,http://43.138.170.29:35455/yy/37988782
体验另一种生活！,http://43.138.170.29:35455/yy/1354936229
超精彩武打场景,http://43.138.170.29:35455/yy/1354936131
宫心计,http://43.138.170.29:35455/yy/1354932429
国产大片电影,http://43.138.170.29:35455/yy/1354926655
超精彩！系列动作电影,http://43.138.170.29:35455/yy/1382745096
第8号当铺,http://43.138.170.29:35455/yy/1382736905
热血战争片,http://43.138.170.29:35455/yy/1354932409
大汉天子S1,http://43.138.170.29:35455/yy/1382749902
百家讲坛-红楼梦篇,http://43.138.170.29:35455/yy/1382741639
战狼10086,http://43.138.170.29:35455/yy/1382773686
漫威十年老粉福利来了,http://43.138.170.29:35455/yy/1354930233
洪大哥系列,http://43.138.170.29:35455/yy/1354888743
鬼片 恐怖片超好看,http://43.138.170.29:35455/yy/1382780025
名媛望族-精彩港剧,http://43.138.170.29:35455/yy/1354932431
战狼7吴京退役,http://43.138.170.29:35455/yy/1382773714
仙剑奇侠传-神仙姐姐驾到,http://43.138.170.29:35455/yy/1382749903
灌篮高手,http://43.138.170.29:35455/yy/1382735626
春晚小品,http://43.138.170.29:35455/yy/1382773708
大汉天子S3,http://43.138.170.29:35455/yy/1382736810
超炫科幻大片,http://43.138.170.29:35455/yy/1382736840
春晚小品,http://43.138.170.29:35455/yy/1382773706
春晚小品,http://43.138.170.29:35455/yy/1382773711
钟馗传说,http://43.138.170.29:35455/yy/1382736839
上海滩,http://43.138.170.29:35455/yy/1382745184
冕加电影院 正在直播,http://43.138.170.29:35455/yy/1339157813
金三角大营救,http://43.138.170.29:35455/yy/1354930924
卖拐 范伟,http://43.138.170.29:35455/yy/1382773719
最后的狮子-探险纪录片,http://43.138.170.29:35455/yy/1382735577
鹿鼎记,http://43.138.170.29:35455/yy/1355104118
生逢灿烂的日子,http://43.138.170.29:35455/yy/1382745085
经典影视剧大家一起看,http://43.138.170.29:35455/yy/1355742336
风靡全球的谍战片,http://43.138.170.29:35455/yy/1382736817
丛林敢死队-国内电影,http://43.138.170.29:35455/yy/1354936214
非诚勿扰,http://43.138.170.29:35455/yy/1382735583
熊出没之探险日记S1-国漫,http://43.138.170.29:35455/yy/1354930977
岳云鹏宋小宝也来演电影了？,http://43.138.170.29:35455/yy/1354926612
【聚星】菊瓜娃,http://43.138.170.29:35455/yy/1382773718
无敌县令,http://43.138.170.29:35455/yy/1354932390
天龙八部,http://43.138.170.29:35455/yy/1382749944
历年春晚小品合集,http://43.138.170.29:35455/yy/1382773717
重生之超级赛亚人,http://43.138.170.29:35455/yy/1354936124
国内动作片,http://43.138.170.29:35455/yy/1382735561
好先生,http://43.138.170.29:35455/yy/29067617
鹿鼎记-陈小春版,http://43.138.170.29:35455/yy/1382736920
动作大片,http://43.138.170.29:35455/yy/1354930816
末日系列-外国电影合集,http://43.138.170.29:35455/yy/1354889019
历年春晚小品合集,http://43.138.170.29:35455/yy/1355555484
【聚星】小猴子,http://43.138.170.29:35455/yy/1382773710
24小时播放电视剧,http://43.138.170.29:35455/yy/1354127609
密子君,http://43.138.170.29:35455/yy/1382736717
一分钟学道菜,http://43.138.170.29:35455/yy/1382736901
水浒传梁山好汉,http://43.138.170.29:35455/yy/1382832087
[ 经典] 鹿鼎记,http://43.138.170.29:35455/yy/1355526531
春晚小品,http://43.138.170.29:35455/yy/1382773715
中国第一神探-狄仁杰,http://43.138.170.29:35455/yy/1354932438
科幻大片,http://43.138.170.29:35455/yy/1382745181
来看修牛蹄,http://43.138.170.29:35455/yy/1382749887
春晚小品,http://43.138.170.29:35455/yy/1382773705
春晚小品,http://43.138.170.29:35455/yy/1394000564
大太监-tvb经典古装,http://43.138.170.29:35455/yy/1382736886
花儿开心吧-小品,http://43.138.170.29:35455/yy/1382736917
雪儿动漫,http://43.138.170.29:35455/yy/1354143938
天下第一,http://43.138.170.29:35455/yy/1382736838
动作大片,http://43.138.170.29:35455/yy/1354888739
科幻片：来看神奇的地球,http://43.138.170.29:35455/yy/1354930897
降服魔女的手段-泰剧,http://43.138.170.29:35455/yy/1354932405
欢乐一起看,http://43.138.170.29:35455/yy/1354930926
你不知道的黄河故事,http://43.138.170.29:35455/yy/1382745189
历年春晚小品合集,http://43.138.170.29:35455/yy/1382773716
忠烈杨家将,http://43.138.170.29:35455/yy/1382749909
